Dataset,Source_Attack,Unseen_Attack,Fold,RF_Precision,RF_Recall,RF_F1,RF_Specificity,AE_Precision,AE_Recall,AE_F1,AE_Specificity,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Specificity,RF_Weight,AE_Weight,Decision_Threshold
Netflow,Denial_of_Service,Port_Scanning,3,0.0,0.0,0.0,0.9955996332156044,0.0007405761682589055,0.0006301147596506014,0.0006808945251824584,0.9247297057008476,0.0,0.0,0.0,0.9955996332156044,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,3,0.0,0.0,0.0,0.9955996332156044,0.0008978073138900973,1.0,0.001794003957905639,0.9247297057008476,0.0,0.0,0.0,0.9955996332156044,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,3,0.0,0.0,0.0,0.9999696670699435,0.002893916703768163,0.000563165066437725,0.0009428488540760081,0.9828214506113654,0.0,0.0,0.0,0.9999686211068382,0.8,0.19999999999999996,0.5
Netflow,Malware,Denial_of_Service,3,0.0,0.0,0.0,0.9999696670699435,0.0,0.0,0.0,0.9828214506113654,0.0,0.0,0.0,0.9999686211068382,0.8,0.19999999999999996,0.5
Netflow,Port_Scanning,Denial_of_Service,4,0.0,0.0,0.0,0.9564206293283276,0.003417671688795047,0.030322273376726463,0.006142960521025971,0.9223267527122705,0.0,0.0,0.0,0.9564202806738376,0.8,0.19999999999999996,0.3
Netflow,Port_Scanning,Malware,4,0.0,0.0,0.0,0.9564206293283276,0.0008700565985271826,1.0,0.0017386005162030398,0.9223267527122705,0.0,0.0,0.0,0.9564202806738376,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Port_Scanning,4,0.0,0.0,0.0,0.9956547190908207,0.0004197998604165464,0.0003150561390657798,0.00035996310378186237,0.933585852158642,0.0,0.0,0.0,0.9956547190908207,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,4,0.0,0.0,0.0,0.9956547190908207,0.0010174060341617676,1.0,0.0020327439423706616,0.933585852158642,0.0,0.0,0.0,0.9956547190908207,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,4,0.0,0.0,0.0,0.9999696670593679,0.00022943547946552458,8.27022365047672e-05,0.00012157984321989741,0.9680953249268087,0.0,0.0,0.0,0.9999696670593679,1.0,0.0,0.5
Netflow,Malware,Denial_of_Service,4,0.0,0.0,0.0,0.9999696670593679,0.0,0.0,0.0,0.9680953249268087,0.0,0.0,0.0,0.9999696670593679,1.0,0.0,0.5
Netflow,Port_Scanning,Denial_of_Service,5,0.0,0.0,0.0,0.9564949079029486,0.0,0.0,0.0,0.9152609503620776,0.0,0.0,0.0,0.9564917700136324,1.0,0.0,0.2
Netflow,Port_Scanning,Malware,5,0.0,0.0,0.0,0.9564949079029486,0.0007975661897714192,1.0,0.0015938611697626462,0.9152609503620776,0.0,0.0,0.0,0.9564917700136324,1.0,0.0,0.2
Netflow,Denial_of_Service,Port_Scanning,5,0.0,0.0,0.0,0.9956540232970849,0.0008677495457873471,0.0007561377115807217,0.0008081080171049531,0.9229229787634624,0.0,0.0,0.0,0.9956540232970849,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,5,0.0,0.0,0.0,0.9956540232970849,0.0008767806782847639,1.0,0.0017520252147133993,0.9229229787634624,0.0,0.0,0.0,0.9956540232970849,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,5,0.0,0.0,0.0,0.9999682724524697,0.0005052706665609892,0.00020084907963862917,0.0002874389192296637,0.9648260040374176,0.0,0.0,0.0,0.9999682724524697,1.0,0.0,0.5
Netflow,Malware,Denial_of_Service,5,0.0,0.0,0.0,0.9999682724524697,0.0,0.0,0.0,0.9648260040374176,0.0,0.0,0.0,0.9999682724524697,1.0,0.0,0.5
Netflow,Port_Scanning,Denial_of_Service,6,0.0,0.0,0.0,0.9563599634470633,0.0,0.0,0.0,0.9860081466608139,0.0,0.0,0.0,0.956356128247673,1.0,0.0,0.2
Netflow,Port_Scanning,Malware,6,0.0,0.0,0.0,0.9563599634470633,0.004810911345319281,1.0,0.009575754584269108,0.9860081466608139,0.0,0.0,0.0,0.956356128247673,1.0,0.0,0.2
Netflow,Denial_of_Service,Port_Scanning,6,0.0,0.0,0.0,0.9956003289903768,0.0006380716058135413,0.0005671010503184036,0.0006004966607798533,0.9213658609377621,0.0,0.0,0.0,0.9956003289903768,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,6,0.0,0.0,0.0,0.9956003289903768,0.0008594338368847739,1.0,0.0017173916892406296,0.9213658609377621,0.0,0.0,0.0,0.9956003289903768,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,6,0.0,0.0,0.0,0.9999696670593679,0.002411149825783972,0.0006813089007297488,0.0010624153675619409,0.9750443575674934,0.0,0.0,0.0,0.9999689697503877,0.6000000000000001,0.3999999999999999,0.5
Netflow,Malware,Denial_of_Service,6,0.0,0.0,0.0,0.9999696670593679,0.03596104893126995,0.10596920146054929,0.05369910400933198,0.9750443575674934,0.0,0.0,0.0,0.9999689697503877,0.6000000000000001,0.3999999999999999,0.5
Netflow,Port_Scanning,Denial_of_Service,7,0.0,0.0,0.0,0.9564398205127311,0.01690727534641852,0.15046039053818067,0.030398646454359933,0.923145420250543,0.0,0.0,0.0,0.9564377285865203,0.8,0.19999999999999996,0.3
Netflow,Port_Scanning,Malware,7,0.0,0.0,0.0,0.9564398205127311,0.0008793161277455966,1.0,0.0017570872203604745,0.923145420250543,0.0,0.0,0.0,0.9564377285865203,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Port_Scanning,7,0.0,0.0,0.0,0.9956086982291844,0.0011953778722273874,0.0004962153732248485,0.0007013091103393,0.9632936680880143,0.0,0.0,0.0,0.9956086982291844,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,7,0.0,0.0,0.0,0.9956086982291844,0.0018393158503517454,1.0,0.003671877957375932,0.9632936680880143,0.0,0.0,0.0,0.9956086982291844,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,7,0.0,0.0,0.0,0.9999644372544165,0.0001091732852970878,6.301147596506014e-05,7.990451410564376e-05,0.9489081888451522,0.0,0.0,0.0,0.9999640886000482,0.6000000000000001,0.3999999999999999,0.4
Netflow,Malware,Denial_of_Service,7,0.0,0.0,0.0,0.9999644372544165,0.008531742004451932,0.050047626607398,0.01457828748475407,0.9489081888451522,0.0,0.0,0.0,0.9999640886000482,0.6000000000000001,0.3999999999999999,0.4
Netflow,Port_Scanning,Denial_of_Service,8,0.0,0.0,0.0,0.9564147022019972,0.0,0.0,0.0,0.9643842465349846,0.0,0.0,0.0,0.9564171427834274,0.8,0.19999999999999996,0.5
Netflow,Port_Scanning,Malware,8,0.0,0.0,0.0,0.9564147022019972,0.0018955308463447522,1.0,0.003783889213965282,0.9643842465349846,0.0,0.0,0.0,0.9564171427834274,0.8,0.19999999999999996,0.5
Netflow,Denial_of_Service,Port_Scanning,8,0.0,0.0,0.0,0.99564565407408,0.0008546472045310788,0.0006970617076830377,0.0007678525723061172,0.927854320997124,0.0,0.0,0.0,0.99564565407408,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,8,0.0,0.0,0.0,0.99564565407408,0.000936655079181151,1.0,0.0018715571548472366,0.927854320997124,0.0,0.0,0.0,0.99564565407408,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,8,0.0,0.0,0.0,0.9999724562952881,0.0018305405855169677,0.0005631628485800814,0.0008613368188361714,0.9728133174858246,0.0,0.0,0.0,0.9999696670593679,0.6000000000000001,0.3999999999999999,0.4
Netflow,Malware,Denial_of_Service,8,0.0,0.0,0.0,0.9999724562952881,0.0,0.0,0.0,0.9728133174858246,0.0,0.0,0.0,0.9999696670593679,0.6000000000000001,0.3999999999999999,0.4
Netflow,Port_Scanning,Denial_of_Service,9,0.0,0.0,0.0,0.9562885045168174,0.002696222728475013,0.025083346562946498,0.0048690667878797216,0.9184950682839581,0.0,0.0,0.0,0.9562864125906065,0.8,0.19999999999999996,0.3
Netflow,Port_Scanning,Malware,9,0.0,0.0,0.0,0.9562885045168174,0.0008291873963515755,1.0,0.0016570008285004142,0.9184950682839581,0.0,0.0,0.0,0.9562864125906065,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Port_Scanning,9,0.0,0.0,0.0,0.995579062607865,0.08488264263399087,0.11138853663723505,0.0963458148466707,0.8936851720783635,0.0,0.0,0.0,0.995579062607865,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,9,0.0,0.0,0.0,0.995579062607865,0.0006358091654840835,1.0,0.0012708103381076062,0.8936851720783635,0.0,0.0,0.0,0.995579062607865,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,9,0.0,0.0,0.0,0.9999693184155751,0.001930651015522434,0.0005907325871724388,0.000904660812506031,0.972963945651757,0.0,0.0,0.0,0.9999693184155751,0.6000000000000001,0.3999999999999999,0.5
Netflow,Malware,Denial_of_Service,9,0.0,0.0,0.0,0.9999693184155751,0.0,0.0,0.0,0.972963945651757,0.0,0.0,0.0,0.9999693184155751,0.6000000000000001,0.3999999999999999,0.5
Netflow,Port_Scanning,Denial_of_Service,10,0.0,0.0,0.0,0.9565691561410782,0.0,0.0,0.0,0.9031925942997083,0.0,0.0,0.0,0.9565653209416879,0.8,0.19999999999999996,0.3
Netflow,Port_Scanning,Malware,10,0.0,0.0,0.0,0.9565691561410782,0.0006982084116118537,1.0,0.001395442513522845,0.9031925942997083,0.0,0.0,0.0,0.9565653209416879,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Port_Scanning,10,0.0,0.0,0.0,0.9956752897057322,0.24545356761449633,0.5032628001402,0.3299718159294869,0.8630352674476295,0.0,0.0,0.0,0.9956752897057322,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,10,0.0,0.0,0.0,0.9956752897057322,0.0004935984856194915,1.0,0.0009867099327104515,0.8630352674476295,0.0,0.0,0.0,0.9956752897057322,0.8,0.19999999999999996,0.3
